discord_id,bot_id,name_tts,language_tts
474935164451946506,938487470339801169,Pietro,it-it
608967318789160970,938487470339801169,Mia,it-it
608967318789160970,939876818465488926,Pietro,it-it
608967318789160970,983315338886279229,Pietro,it-it
