guild_id,bot_id,channel_id,message_text
474935164451946506,1098906798016184422,691005390074150993,"Welcome #user, i know you won't read this so i won't write anything interesting"
608967318789160970,938487470339801169,1094186395716817107,ciao keria #user
608967318789160970,939876818465488926,824537182168547349,guma and keria #user
