user_id,sound_id,times
291624587278417920,1,3
291624587278417920,2,3
291624587278417920,3,4
291624587278417920,7,17
291624587278417920,8,1
291624587278417920,9,1
291624587278417920,13,3
291624587278417920,14,1
291624587278417920,16,4
291624587278417920,17,4
291624587278417920,18,8
291624587278417920,19,2
291624587278417920,20,6
291624587278417920,21,4
291624587278417920,23,2
291624587278417920,30,2
291624587278417920,31,2
291624587278417920,32,1
291624587278417920,33,1
291624587278417920,34,1
291624587278417920,35,3
291624587278417920,36,1
291624587278417920,39,1
291624587278417920,40,1
291624587278417920,41,3
291624587278417920,42,4
291624587278417920,43,1
291624587278417920,46,1
291624587278417920,48,1
291624587278417920,49,3
291624587278417920,50,1
291624587278417920,53,2
291624587278417920,54,3
291624587278417920,60,1
291624587278417920,67,4
291624587278417920,68,2
291624587278417920,69,1
291624587278417920,73,1
291624587278417920,74,1
291624587278417920,75,1
291624587278417920,76,1
291624587278417920,77,1
291624587278417920,79,1
291624587278417920,83,1
291624587278417920,84,2
291624587278417920,86,1
291624587278417920,89,1
291624587278417920,91,1
291624587278417920,96,1
291624587278417920,99,6
291624587278417920,100,1
291624587278417920,103,2
291624587278417920,104,2
291624587278417920,113,2
291624587278417920,114,2
291624587278417920,119,1
291624587278417920,122,2
291624587278417920,137,2
291624587278417920,139,1
291624587278417920,140,1
291624587278417920,141,2
291624587278417920,150,2
291624587278417920,152,1
291624587278417920,153,1
291624587278417920,158,1
291624587278417920,164,2
291624587278417920,165,2
291624587278417920,166,3
291624587278417920,167,8
291624587278417920,169,1
291624587278417920,170,1
291624587278417920,172,11
291624587278417920,173,2
291624587278417920,177,1
291624587278417920,178,1
335796793331810305,9,1
335796793331810305,11,1
335796793331810305,51,1
335796793331810305,95,1
335796793331810305,172,4
352192170503045121,35,6
352192170503045121,83,8
352192170503045121,136,1
352192170503045121,153,1
352192170503045121,158,1
352192170503045121,164,1
371768270472347671,27,5
371768270472347671,65,3
371768270472347671,101,2
371768270472347671,104,1
371768270472347671,121,13
383358222972616705,1,20
383358222972616705,2,8
383358222972616705,3,7
383358222972616705,4,1
383358222972616705,5,2
383358222972616705,6,2
383358222972616705,7,6
383358222972616705,8,8
383358222972616705,9,1
383358222972616705,10,4
383358222972616705,11,4
383358222972616705,12,8
383358222972616705,13,3
383358222972616705,15,15
383358222972616705,16,7
383358222972616705,17,4
383358222972616705,18,10
383358222972616705,19,22
383358222972616705,20,6
383358222972616705,21,1
383358222972616705,23,2
383358222972616705,24,4
383358222972616705,25,11
383358222972616705,27,34
383358222972616705,28,5
383358222972616705,29,7
383358222972616705,30,215
383358222972616705,31,1
383358222972616705,32,2
383358222972616705,35,238
383358222972616705,37,4
383358222972616705,38,3
383358222972616705,39,13
383358222972616705,40,15
