user_id,guild_id,exp,level,messages
1090342785141461122,983324272627974144,42,1,2
1099708251207114853,772754737032069192,17,1,1
134667671026270208,474935164451946506,21,0,1
171656670793957376,474935164451946506,22,0,1
177121625978699776,474935164451946506,43,0,2
180393291144101890,474935164451946506,1380,5,69
195882114883911680,474935164451946506,42,0,2
197330767276277760,474935164451946506,23,0,1
199969172233388032,474935164451946506,20,0,1
201048583187726336,474935164451946506,43,0,2
208147036309159936,474935164451946506,16,0,1
213993893698469890,474935164451946506,30,0,2
219797089037582337,474935164451946506,39,0,2
219797089037582337,608967318789160970,114,1,5
219797089037582337,729678390277439638,39,1,2
223781302413950976,474935164451946506,21,0,1
226347967500517376,474935164451946506,41,0,2
230069633439367178,474935164451946506,20,0,1
234670519272734721,474935164451946506,8659,13,431
236113065349742592,474935164451946506,17,0,1
240119580733865985,518108973824475136,23,1,1
240526156976095234,474935164451946506,17,0,1
249923768250662913,474935164451946506,1757,6,90
260079744261947394,474935164451946506,79,0,4
264502109897097217,983324272627974144,15,1,1
264506930435719168,474935164451946506,20,0,1
266616957057368065,474935164451946506,39,0,2
269119515818852353,474935164451946506,22,0,1
269128690997264393,474935164451946506,176,1,9
277175827546898434,474935164451946506,38,0,2
282848036890083328,474935164451946506,41,0,2
283221836139855883,474935164451946506,178,1,8
286513493111341056,474935164451946506,19,0,1
291624587278417920,474935164451946506,28213,21,1415
292535978105765889,474935164451946506,46,0,2
293450014993285120,474935164451946506,20,0,1
298592241004576769,474935164451946506,20,0,1
301349469910204417,474935164451946506,35,0,2
301782929216897044,474935164451946506,100,1,5
302434971694530567,474935164451946506,73,0,4
303876522559799297,474935164451946506,24,0,1
305318721197441024,474935164451946506,56,0,3
310835335355564034,474935164451946506,62,0,3
310857673904226307,474935164451946506,1615,5,82
312269104562176001,474935164451946506,722,3,35
319874030620508183,474935164451946506,35,0,2
321305704222687233,474935164451946506,15,0,1
327852371168329738,474935164451946506,31,0,2
328091673978601472,474935164451946506,70,0,4
328934128223518731,474935164451946506,4344,9,215
330350227448135681,474935164451946506,22,0,1
332790479340961793,474935164451946506,124,1,6
335446440681668612,474935164451946506,235,1,12
335796793331810305,474935164451946506,16864,17,846
336464146520604672,474935164451946506,24,0,1
337632634928758788,474935164451946506,88,0,4
349281882958987264,474935164451946506,44,0,2
349943320195366912,474935164451946506,23,0,1
352192170503045121,474935164451946506,1039,4,53
352192170503045121,608967318789160970,78,1,4
352192170503045121,731222545864458260,102,1,5
352825398641426434,474935164451946506,65,0,3
354982144701104130,474935164451946506,272,2,14
362716166658981890,474935164451946506,39,0,2
371768270472347671,474935164451946506,209,1,10
372135051070013450,474935164451946506,110,1,5
377495369455632394,474935164451946506,17,0,1
377865882040401920,1114239502874054756,23,1,1
380782541692731392,474935164451946506,34,0,2
381136506049396764,474935164451946506,36,0,2
383358222972616705,1081177064146751529,46,1,2
383358222972616705,1108673762708172811,58,1,3
383358222972616705,1113468641015504998,22,1,1
383358222972616705,1113468860562149432,58,1,3
383358222972616705,1114239502874054756,270,2,13
383358222972616705,474935164451946506,135178,38,6757
383358222972616705,608967318789160970,40074,24,2004
383358222972616705,970275792711987231,22,1,1
388011880284815360,474935164451946506,23,0,1
389059345482121227,474935164451946506,16714,17,839
390203655078543360,474935164451946506,96,0,5
390964895853838336,474935164451946506,16,0,1
392924475647066113,474935164451946506,156,1,8
395903033504038932,474935164451946506,17,0,1
398594471584858112,474935164451946506,228,1,12
402880533064843264,474935164451946506,18,0,1
404277619094192138,983324272627974144,18,1,1
411156498715246612,474935164451946506,49,0,2
411188500541472790,474935164451946506,77,0,4
414559041809940492,474935164451946506,125,1,6
414909656155029515,474935164451946506,39,0,2
416240945198006274,474935164451946506,23,0,1
417393832020148226,474935164451946506,10770,14,531
421211564096618498,474935164451946506,70,0,4
422089379000090635,983324272627974144,24,1,1
422373239063445506,474935164451946506,20,0,1
425610036971307019,474935164451946506,20,0,1
429050853043994634,474935164451946506,23,0,1
430384808200372245,474935164451946506,44,1,2
431324611968368652,474935164451946506,5791,11,290
431495490157281290,474935164451946506,63,0,3
433993915763392512,474935164451946506,94,0,4
439463077755355147,474935164451946506,87,0,4
440489230968553472,1108673762708172811,74,1,4
440489230968553472,474935164451946506,82504,32,4126
440489230968553472,876606568412639272,915,4,45
442388112597975052,474935164451946506,65,0,3
447368454694109184,474935164451946506,36,0,2
449581343756779522,474935164451946506,59,0,3
450222379881332737,474935164451946506,1857,6,93
453184174896054272,474935164451946506,49,0,2
453215257150619660,474935164451946506,20,0,1
453217204062912512,474935164451946506,38,0,2
455047495949615125,474935164451946506,498,3,23
458205796807737349,474935164451946506,36,0,2
459709496638308352,983324272627974144,19,1,1
463038829947912212,474935164451946506,44,0,2
465870132825292811,474935164451946506,43,0,2
467056965298683916,474935164451946506,23,0,1
478473418451451905,474935164451946506,20,0,1
478667496627634176,474935164451946506,45,0,2
479992797366059008,697504135309820025,22,1,1
480740274801344523,474935164451946506,91,0,5
482316735035211797,518108973824475136,15,1,1
485855205682970626,474935164451946506,235,1,12
486207541957885975,474935164451946506,15,0,1
490442834445598722,474935164451946506,6023,11,300
490849606557761536,474935164451946506,2051,6,106
490902973384228885,474935164451946506,24,0,1
498237667994238979,474935164451946506,15,0,1
498579360811581442,474935164451946506,160,1,8
500399397419614219,474935164451946506,35,0,2
500771898293092387,474935164451946506,24,0,1
503866592296304660,474935164451946506,56,0,3
506082876018786315,474935164451946506,22,0,1
507580895226757132,474935164451946506,20,0,1
508363983745581060,474935164451946506,41,0,2
511242130606260225,474935164451946506,847,4,44
511621674735501312,474935164451946506,15,0,1
514899983124791303,474935164451946506,39,0,2
518793832402255893,474935164451946506,513,3,26
520705887271124992,474935164451946506,23,0,1
524691004184461323,474935164451946506,22,0,1
525032013217136650,474935164451946506,63,0,3
526137614915469356,474935164451946506,6851,11,344
528513914171031582,474935164451946506,115,1,6
530200582594756614,474935164451946506,123,1,6
532610454447587339,474935164451946506,132,1,7
532948627551813662,474935164451946506,17,0,1
533409707461967873,474935164451946506,334,2,18
534389457118560257,474935164451946506,5076,10,252
534799131663663127,474935164451946506,703,3,38
536452590234501140,697504135309820025,55,1,3
539203987333971988,474935164451946506,41,0,2
543761227969462282,474935164451946506,58,0,3
544292547904798751,474935164451946506,22,0,1
544622977715798016,474935164451946506,21,0,1
548852518189531158,474935164451946506,18,0,1
549151681850638357,474935164451946506,15,0,1
555506722668806144,474935164451946506,451,2,23
557254709539373056,474935164451946506,125,1,6
558281836971687951,474935164451946506,33,0,2
558381242953891867,474935164451946506,23,0,1
559364643676618763,474935164451946506,22,0,1
561669073516232711,474935164451946506,46,0,2
565603682511618048,474935164451946506,57,0,3
566247252293582869,474935164451946506,64,0,3
569241522197757967,474935164451946506,23,0,1
573612622306345009,474935164451946506,22,0,1
575006065767481347,474935164451946506,65,0,3
584089549295058954,474935164451946506,38,0,2
586072535280517120,697504135309820025,265,2,13
586094001132929046,697504135309820025,202,1,10
586507253767471114,697504135309820025,58,1,3
587381529580273717,474935164451946506,4764,10,233
588644579020898317,474935164451946506,65,0,3
591164891507851266,474935164451946506,46,0,2
591227330433646602,474935164451946506,20,0,1
591577947958411283,474935164451946506,19,0,1
593756821186150411,474935164451946506,25,0,1
596787353369182218,474935164451946506,24,0,1
597551842372616192,474935164451946506,21,0,1
606421152516276225,474935164451946506,494,3,26
606989216349552651,474935164451946506,15,0,1
608427133588602925,474935164451946506,55,0,3
608661176498389011,474935164451946506,3443,8,172
608993535491964953,474935164451946506,46,0,2
610555881330835457,474935164451946506,19,0,1
610861251043655681,474935164451946506,40,0,2
612996289210351616,474935164451946506,149,1,7
614886441675259922,474935164451946506,24,0,1
615160976676749323,474935164451946506,25,0,1
616030319887384627,474935164451946506,34,0,2
616717371557675064,474935164451946506,58,0,3
618098440655601674,474935164451946506,15,0,1
622213641906815008,474935164451946506,93,0,4
623512018573459456,474935164451946506,24,0,1
639538593605484566,474935164451946506,17,0,1
640282818764865597,474935164451946506,34,0,2
640882594031861772,474935164451946506,221,1,11
647184122628014091,474935164451946506,25,0,1
651378690881617930,474935164451946506,24,0,1
655763460537450528,697504135309820025,63,1,3
655763460537450528,983324272627974144,15,1,1
656114234266222592,474935164451946506,20,0,1
657962195895975958,474935164451946506,63,0,3
664166907896922154,474935164451946506,1681,6,83
670654958248656902,474935164451946506,62,1,3
674623173630754836,474935164451946506,395,2,20
679084700781772801,474935164451946506,157,1,7
679724848754458645,474935164451946506,17,0,1
680524182316122219,474935164451946506,20,0,1
691352020757512283,474935164451946506,158,1,8
697897576048885790,474935164451946506,36,0,2
698154788914987038,518108973824475136,21,1,1
698601172713472123,474935164451946506,24,0,1
700740509546577921,474935164451946506,106,1,5
705406753604501506,474935164451946506,83,0,4
705857177046351883,518108973824475136,43,1,2
707174964008321035,474935164451946506,18,0,1
707479292644163604,474935164451946506,15934,16,796
709049643203559495,474935164451946506,79,0,4
711563423472680972,474935164451946506,19,0,1
718057378918170685,474935164451946506,21,0,1
719569514810966096,474935164451946506,47,0,2
719571846848315492,474935164451946506,44,0,2
719572441675857962,474935164451946506,32,0,2
719573961964519527,474935164451946506,42,0,2
719574848212303942,474935164451946506,44,0,2
719575408944873593,474935164451946506,36,0,2
719576410771161089,474935164451946506,49,0,2
719578976070139936,474935164451946506,34,0,2
719579664674324541,474935164451946506,47,0,2
719581365263401020,474935164451946506,45,0,2
719582238970216459,474935164451946506,39,0,2
719588156319465563,474935164451946506,38,0,2
719588509698097162,474935164451946506,48,0,2
719602997738471454,474935164451946506,43,0,2
722224503731781672,474935164451946506,89,0,4
727901183959629845,474935164451946506,150,1,8
731589427322683402,474935164451946506,141,1,7
733756052515979365,608967318789160970,23,1,1
733814323272613958,474935164451946506,24,1,1
734099436187418685,474935164451946506,211,1,11
734742028511870976,474935164451946506,153,1,8
740586248472625180,474935164451946506,729,3,37
743021700093968445,474935164451946506,46,0,2
752647571515899964,474935164451946506,139,1,7
