discord_id,bot_id,channel_id,message_text
474935164451946506,1098906798016184422,691005390074150993,This piece of shit #user left the best server in the world
608967318789160970,1102196649729728542,1094186395716817107,keria
608967318789160970,938487470339801169,1094186395716817107,guma and keria
